nodeId,kmeans_cluster,louvain_cluster,subject
7047,4,37,Reinforcement_Learning
16470,0,9,Neural_Networks
1153280,1,54,Genetic_Algorithms
1120777,4,13,Neural_Networks
1131312,2,11,Probabilistic_Methods
1152896,1,12,Case_Based
1131314,2,11,Probabilistic_Methods
116512,0,15,Neural_Networks
709113,0,23,Rule_Learning
205196,4,13,Neural_Networks
74920,0,67,Probabilistic_Methods
5959,5,1,Case_Based
616336,0,84,Rule_Learning
362926,5,1,Rule_Learning
1128977,1,54,Genetic_Algorithms
733167,4,21,Neural_Networks
12182,3,5,Theory
632935,4,6,Probabilistic_Methods
684531,4,21,Neural_Networks
608190,1,54,Genetic_Algorithms
35905,4,3,Neural_Networks
187260,0,78,Case_Based
273152,1,54,Genetic_Algorithms
1153195,4,37,Neural_Networks
12638,4,6,Neural_Networks
51045,2,42,Probabilistic_Methods
13212,0,37,Neural_Networks
1106298,1,1,Theory
644577,2,11,Probabilistic_Methods
28542,7,2,Reinforcement_Learning
131122,7,37,Neural_Networks
1131565,1,54,Neural_Networks
28964,2,25,Probabilistic_Methods
62333,4,14,Neural_Networks
72101,4,9,Neural_Networks
140005,5,1,Theory
95597,7,2,Reinforcement_Learning
1107041,6,12,Case_Based
1130600,4,2,Reinforcement_Learning
73146,2,3,Probabilistic_Methods
1120444,6,18,Case_Based
566653,6,18,Case_Based
118424,4,9,Neural_Networks
1127657,5,1,Theory
400455,0,49,Neural_Networks
20602,3,5,Theory
102406,5,5,Theory
55968,7,2,Reinforcement_Learning
851968,0,16,Neural_Networks
1112929,4,13,Neural_Networks
27895,5,24,Theory
1951,6,12,Case_Based
98698,1,54,Genetic_Algorithms
671269,4,21,Neural_Networks
642798,2,11,Probabilistic_Methods
1129369,0,54,Genetic_Algorithms
1112319,3,5,Theory
642827,2,42,Probabilistic_Methods
1128943,1,54,Genetic_Algorithms
10174,6,4,Theory
31863,2,42,Probabilistic_Methods
29723,4,3,Probabilistic_Methods
107177,5,5,Theory
675847,4,21,Neural_Networks
74749,5,4,Theory
178727,1,54,Genetic_Algorithms
1123926,5,5,Theory
191404,7,2,Probabilistic_Methods
1154071,2,11,Probabilistic_Methods
111866,3,5,Theory
101660,5,1,Rule_Learning
1132073,0,76,Neural_Networks
1113739,7,2,Reinforcement_Learning
83826,4,14,Neural_Networks
1133047,1,54,Genetic_Algorithms
1102567,6,18,Case_Based
211906,5,5,Theory
531348,2,25,Probabilistic_Methods
1125469,2,3,Probabilistic_Methods
30901,5,5,Theory
231198,4,37,Neural_Networks
884094,4,6,Probabilistic_Methods
641956,5,21,Neural_Networks
62329,1,54,Genetic_Algorithms
116545,1,54,Genetic_Algorithms
81722,1,54,Case_Based
1114125,7,2,Reinforcement_Learning
1133010,4,3,Probabilistic_Methods
154047,0,99,Neural_Networks
241133,7,2,Theory
1106630,5,1,Neural_Networks
2658,0,16,Neural_Networks
568045,5,1,Rule_Learning
646913,1,54,Genetic_Algorithms
1152904,3,3,Neural_Networks
66990,4,13,Neural_Networks
231249,1,54,Genetic_Algorithms
232860,5,47,Neural_Networks
263498,1,54,Genetic_Algorithms
94641,1,54,Genetic_Algorithms
69198,4,37,Neural_Networks
814836,0,91,Rule_Learning
158172,2,3,Probabilistic_Methods
137790,5,4,Theory
162080,0,34,Neural_Networks
1104007,3,5,Theory
28473,7,2,Reinforcement_Learning
180373,5,14,Neural_Networks
1130637,5,1,Case_Based
1999,5,1,Theory
1125258,0,39,Neural_Networks
116552,1,54,Genetic_Algorithms
106590,2,3,Probabilistic_Methods
1121459,5,24,Case_Based
148399,3,5,Theory
7537,0,36,Neural_Networks
423816,1,54,Genetic_Algorithms
1109581,7,2,Probabilistic_Methods
592975,1,54,Genetic_Algorithms
77826,6,12,Case_Based
1129367,1,54,Genetic_Algorithms
103543,2,11,Probabilistic_Methods
1106112,0,38,Reinforcement_Learning
1128982,1,54,Genetic_Algorithms
37998,5,24,Rule_Learning
1152179,4,14,Neural_Networks
1133338,1,54,Genetic_Algorithms
264347,4,9,Theory
50337,4,3,Probabilistic_Methods
74821,4,21,Probabilistic_Methods
1105360,5,1,Rule_Learning
36167,7,2,Reinforcement_Learning
162664,2,25,Probabilistic_Methods
48555,4,9,Neural_Networks
1132968,4,16,Neural_Networks
28387,7,2,Reinforcement_Learning
1919,7,3,Probabilistic_Methods
753047,4,9,Theory
567005,4,14,Neural_Networks
198653,1,54,Genetic_Algorithms
1116594,4,14,Neural_Networks
4660,3,5,Theory
737204,0,34,Neural_Networks
582139,0,16,Neural_Networks
1128531,5,1,Rule_Learning
695284,3,0,Theory
5069,6,18,Case_Based
105865,4,42,Neural_Networks
1108267,6,54,Case_Based
10169,5,1,Theory
